0000500000247160_LOAD,1668677.95015546,12267677.7785928
0000500000247162_LOAD,1668309.15860312,12267744.6089289
0000500000247171_LOAD,1668111.24807493,12268009.6979532
0000500000293471_LOAD,1669819.14900452,12262614.7088921
190-7361,1676925.80296323,12268910.641570099
190-8581,1680565.27099862,12283007.2099032
190-8593,1672032.10695868,12283195.7856474
193-103041,1668904.89287576,12284707.6806888
193-46661,1669591.3660924,12284597.0886887
193-48013,1675299.28136172,12272222.4992372
193-51796,1680144.86984623,12279506.043308001
196-29518,1663726.13984694,12286335.893938301
196-29519,1669890.45191668,12282769.850799
196-29520,1669592.7300603997,12281779.4461901
196-29521,1675374.16852979,12285510.3901935
196-31070,1686023.26473171,12275638.5591444
196-35541,1681420.47893542,12271812.9115248
196-35813,1669232.17146807,12281827.3038541
196-36167,1681227.04533524,12270882.9966439
198-5320,1691275.1436486,12273314.398630198
221-240988,1662994.84819826,12276470.9523611
221-240991,1664317.00423149,12276832.534953501
221-242079,1692572.33046581,12274487.2308873
221-282818,1680744.73314279,12279313.777067801
221-282819,1680874.47803891,12279310.696875801
221-306686,1674355.73908884,12272896.5410938
221-306687,1670220.06932499,12266387.7718077
221-308718,1679631.67381375,12279343.428011801
221-311359,1691268.35248059,12273303.5851902
221-311583,1674435.49230491,12272591.9502455
221-311595,1674443.62696092,12272591.667621499
221-311609,1679280.25339743,12279559.274924
221-311905,1679259.94952541,12279457.7596599
221-312488,1678663.47771685,12279597.547948
221-559681,1668737.20673161,12283648.0454878
221-559682,1668747.54093962,12283642.380719801
221-703009,1681921.78018389,12276047.6471447
226-23745,1692128.18070539,12278504.210858999
226-23751,1681744.61589572,12272155.9187571
228-1048090-1_INT,1680143.6400222324,12279720.408492176
228-1353934-4_INT,1668863.882699725,12284964.464049026
228-961799-3_INT,1669735.864780535,12284367.324592475
228-979371-2_INT,1675380.270545795,12272293.971365249
293471,1669708.1812818432,12262519.332593434
362-1301,1686006.88482769,12275650.2900884
362-14404,1676939.78261125,12268916.302242098
362-14411,1674047.99432055,12277378.646442
362-14412,1671269.78810997,12264102.9410856
362-14413,1665016.92052014,12284875.198897
362-14414,1663985.33063118,12277279.1054499
362-14733,1672013.74459066,12283176.9030874
362-14734,1680557.59919062,12283033.514415199
362-16483,1687058.66799667,12275414.2785681
362-16642,1673080.06036765,12284219.064752301
D5472341-1_INT,1668242.3525871467,12267629.754102236
D5502543-2_INT,1665109.7836668966,12284755.603888832
D5513564-1_INT,1693184.322018373,12276207.828051535
D5534969-2_INT,1674584.58056105,12283927.793072075
D5534970-1_INT,1667613.01857056,12279508.319659952
D5535139-1_INT,1681635.3161836178,12279515.044267949
D5563942-4_INT,1687149.700504486,12275422.076259874
